segment length,Step Length,filters,kernel size,stacks,dropout,lr,dilation,Training Time,train loss,train acc,eval acc,Eval Acc
2400,200,16,6,1,0.175,0.0125,8,401.7982678510016,0.052923880517482765,0.981974720954895,0.8273888826370239,0.92236328125
3600,400,16,8,1,0.175,0.0125,8,406.4274034239934,0.04144155234098434,0.9866284132003784,0.7130679488182068,0.912109375
3600,100,16,16,2,0.175,0.0125,6,1420.668568279012,0.00694214878603816,0.997995913028717,0.8871769309043884,0.9091796875
3600,500,16,16,1,0.175,0.0125,7,260.88120281900046,0.0437108613550663,0.9857844114303588,0.8253233432769775,0.90576171875
2400,300,32,6,2,0.175,0.0125,7,1486.8240097820237,0.00712822936475277,0.9979225993156432,0.9216352105140686,0.89892578125
3600,200,32,8,1,0.175,0.0125,8,787.8839724390127,0.005522085819393396,0.9982848167419434,0.860727846622467,0.89794921875
2400,500,16,11,1,0.175,0.0125,7,185.9538750679931,0.06343782693147659,0.9779926538467408,0.8212742209434509,0.8935546875
3600,400,16,16,1,0.175,0.0125,7,274.98071150301257,0.049473047256469734,0.983449161052704,0.780415952205658,0.89111328125
3600,500,32,8,1,0.175,0.0125,8,459.95449063298287,0.029025303199887283,0.9901074767112732,0.7088537216186523,0.89111328125
3600,500,16,16,2,0.175,0.0125,6,464.13266487495287,0.09059248864650726,0.9688035249710084,0.7585861086845398,0.88720703125
2400,300,16,6,2,0.175,0.0125,7,1027.3659625429718,0.017617413774132732,0.9945986866950988,0.8188903331756592,0.8798828125
3600,300,64,16,1,0.175,0.0125,7,1648.5904272949847,0.09445267915725708,0.965153992176056,0.9018698334693908,0.8779296875
3600,400,64,8,1,0.175,0.0125,8,951.8410537000163,0.07059139758348465,0.9728516936302184,0.7891635894775391,0.876953125
3600,500,16,8,1,0.175,0.0125,8,319.97815470799105,0.05977611988782883,0.980526566505432,0.754571795463562,0.876953125
2400,500,64,11,1,0.175,0.0125,7,550.5070292880408,0.14971297979354858,0.9405917525291444,0.7310249209403992,0.87451171875
3600,300,32,16,1,0.175,0.0125,7,598.9150329890252,0.032090287655591965,0.9899688959121704,0.8540512323379517,0.873046875
3600,400,16,16,2,0.175,0.0125,6,508.6387199779856,0.027793549001216892,0.9909297823905944,0.8068820834159851,0.87109375
2400,500,16,6,1,0.175,0.0125,8,261.2478222739883,0.10108517110347748,0.963450014591217,0.7771191000938416,0.865234375
2400,500,16,6,2,0.175,0.0125,7,383.1625964620034,0.12100274115800858,0.9549023509025574,0.8139612078666687,0.86328125
2400,200,32,6,1,0.175,0.0125,8,699.1331752199914,0.02208399772644043,0.9923501014709472,0.7239375114440918,0.86181640625
3600,400,32,16,1,0.175,0.0125,7,455.8124024809804,0.032457966357469566,0.9899011850357056,0.8201374411582947,0.86083984375
3600,300,16,16,2,0.175,0.0125,6,578.6952841950115,0.04584251716732979,0.9843935370445251,0.8523892164230347,0.85791015625
2400,100,64,11,1,0.175,0.0125,7,2240.709947594005,0.02634589001536369,0.990946888923645,0.7372577786445618,0.85107421875
3600,500,32,16,1,0.175,0.0125,7,401.86882897402387,0.14572367072105408,0.9468374848365784,0.881801962852478,0.84814453125
2400,400,16,6,1,0.175,0.0125,8,272.2767665249994,0.11168523877859116,0.9592013359069824,0.8224626183509827,0.84716796875
3600,300,32,8,1,0.175,0.0125,8,655.9770706290146,0.012331932783126831,0.9957042336463928,0.8747576475143433,0.84619140625
3600,300,64,16,2,0.175,0.0125,6,7356.620306067984,0.34009867906570435,0.8580111265182495,0.8716066479682922,0.84521484375
3600,100,32,16,1,0.175,0.0125,7,1387.833902043989,0.010170137509703636,0.9970133900642396,0.7620945572853088,0.8388671875
3600,300,32,16,2,0.175,0.0125,6,1865.5578374269824,0.13655908405780792,0.9410931468009948,0.8581717610359192,0.8271484375
3600,100,64,16,2,0.175,0.0125,6,9063.548311276012,0.4735964238643646,0.8241954445838928,0.654306948184967,0.82421875
3600,100,64,16,1,0.175,0.0125,7,3551.042094467033,0.037929821759462364,0.9863458275794984,0.775559663772583,0.81103515625
3600,300,64,8,1,0.175,0.0125,8,1276.2495512489986,0.01087726093828678,0.9967324733734132,0.879085898399353,0.80419921875
3600,200,64,16,1,0.175,0.0125,7,2094.4155336770054,0.2687709629535675,0.892612099647522,0.6800848245620728,0.79296875
3600,400,64,16,1,0.175,0.0125,7,1652.060122640978,0.5817007422447205,0.7563818693161011,0.5390520691871643,0.68603515625
3600,400,64,16,2,0.175,0.0125,6,3149.9599333439837,0.9620009064674376,0.6916123628616333,0.5257966518402101,0.64306640625
3600,300,64,16,1,0.175,0.0125,7,3492.7927244859748,0.1630246341228485,0.9366082549095154,0.8366042971611023,0.6318359375
3600,300,16,16,1,0.175,0.0125,7,714.7319116789731,0.007370526436716319,0.9979656338691713,0.87305748462677,0.60693359375
3600,300,32,16,1,0.175,0.0125,7,1278.4732269019878,0.01488184090703726,0.9955243468284608,0.8598212599754333,0.59716796875
3600,500,64,16,2,0.175,0.0125,6,2666.3972247780184,0.5501025319099426,0.7771070003509521,0.5310548543930054,0.56396484375
3600,500,64,16,1,0.175,0.0125,7,972.251047355996,0.6809752583503723,0.719115138053894,0.4891280233860016,0.5029296875
3600,200,64,16,2,0.175,0.0125,6,9090.103023289994,1.7254451513290403,0.5137684941291809,0.4623576700687408,0.277099609375
