segment length,filters,kernel size,stacks,dropout,lr,dilation,Training Time,train loss,train acc,eval acc,Eval Acc,C1 correct,C1 as C2,C1 as C3,C1 as C4,C2 as C1,C2 correct,C2 as C3,C2 as C4,C3 as C1,C3 as C2,C3 correct,C3 as C4,C4 as C1,C4 as C2,C4 as C3,C4 correct
2400,16,6,2,0.175,0.0125,7,751.2635007860081,0.026957670226693153,0.9912196397781372,0.8323130011558533,0.96630859375,403,0,0,0,2,598,1,3,0,0,199,1,0,4,40,255
2400,32,6,2,0.175,0.0125,7,1431.2426524879993,0.007098889909684658,0.9979559183120728,0.8701756596565247,0.98876953125,403,0,0,0,3,598,3,0,0,0,200,0,3,0,8,288
2400,64,6,2,0.175,0.0125,7,2413.0189319319907,0.00931591633707285,0.996949315071106,0.905798077583313,0.96923828125,403,0,0,0,15,587,2,0,0,0,197,3,0,1,25,273
2400,16,6,1,0.175,0.0125,8,401.7982678510016,0.05292388051748276,0.981974720954895,0.8273888826370239,0.92236328125,403,0,0,0,1,528,18,57,0,0,200,0,0,0,41,258
2400,32,6,1,0.175,0.0125,8,699.1331752199912,0.02208399772644043,0.9923501014709473,0.7239375114440918,0.86181640625,403,0,0,0,74,510,20,0,0,0,200,0,38,54,22,185
2400,64,6,1,0.175,0.0125,8,1322.871101355995,0.012295352295041084,0.9958343505859375,0.7274643182754517,0.96875,403,0,0,0,13,568,20,3,0,0,200,0,0,0,11,288
2400,16,11,1,0.175,0.0125,7,334.85666100500384,0.035379596054553986,0.9890207052230835,0.8440023064613342,0.99267578125,403,0,0,0,1,601,2,0,0,0,199,1,2,5,0,292
2400,32,11,1,0.175,0.0125,7,591.8989155500021,0.017277434468269348,0.99406898021698,0.7625543475151062,0.96484375,403,0,0,0,2,555,9,38,0,0,199,1,0,2,1,296
2400,64,11,1,0.175,0.0125,7,1443.2028079479933,0.022628573700785637,0.9927062392234802,0.8380800485610962,0.93896484375,346,57,0,0,10,586,2,6,0,0,200,0,0,1,16,282
3600,16,8,1,0.175,0.0125,8,573.817575093999,0.028614459559321404,0.9909717440605164,0.7884349226951599,0.9521484375,268,0,0,0,5,379,16,1,0,0,132,0,0,0,26,173
3600,32,8,1,0.175,0.0125,8,787.8839724390127,0.005522085819393396,0.9982848167419434,0.860727846622467,0.89794921875,268,0,0,0,0,379,15,7,0,0,132,0,0,79,1,119
3600,64,8,1,0.175,0.0125,8,2072.452729129989,0.00956543069332838,0.9965695738792419,0.8212770819664001,0.93994140625,268,0,0,0,19,369,13,0,0,0,132,0,0,3,25,171
3600,16,16,2,0.175,0.0125,6,891.1504598500032,0.03305821493268013,0.9894904494285583,0.8398526310920715,0.9521484375,268,0,0,0,0,387,5,9,0,0,132,0,0,31,3,165
3600,32,16,2,0.175,0.0125,6,2630.2621135250083,0.05015590041875839,0.9831597208976746,0.8581156730651855,0.98681640625,268,0,0,0,10,388,1,2,0,0,132,0,0,0,0,199
3600,64,16,2,0.175,0.0125,6,9090.103023289994,1.7254451513290405,0.5137684941291809,0.46235767006874084,0.277099609375,0,41,187,40,0,117,226,58,0,6,100,26,0,27,112,60
3600,16,16,1,0.175,0.0125,7,687.3371118649957,0.003532413160428405,0.9990020394325256,0.8677383065223694,0.97509765625,268,0,0,0,1,399,1,0,0,0,132,0,0,0,23,176
3600,32,16,1,0.175,0.0125,7,919.9756134840136,0.004047136288136244,0.9987993240356445,0.8562179207801819,0.9912109375,268,0,0,0,0,393,7,1,0,0,132,0,0,0,1,198
3600,64,16,1,0.175,0.0125,7,2094.4155336770054,0.2687709629535675,0.892612099647522,0.6800848245620728,0.79296875,251,17,0,0,12,345,44,0,0,0,131,1,0,65,68,66
