segment length,filters,kernel size,stacks,dropout,lr,dilation,Training Time,train loss,train acc,eval acc,Eval Acc,C1 correct,C1 as C2,C1 as C3,C1 as C4,C2 as C1,C2 correct,C2 as C3,C2 as C4,C3 as C1,C3 as C2,C3 correct,C3 as C4,C4 as C1,C4 as C2,C4 as C3,C4 correct
2400,16,6,2,0.175,0.0125,7,383.1625964620034,0.12100274115800858,0.9549023509025574,0.8139612078666687,0.86328125,403,0,0,0,44,514,8,38,0,0,200,0,74,41,1,183
2400,32,6,2,0.175,0.0125,7,705.395506988978,0.038621775805950165,0.9870044589042664,0.7799445986747742,0.96728515625,403,0,0,0,11,555,37,1,0,0,200,0,0,0,0,299
2400,64,6,2,0.175,0.0125,7,1165.7428959719837,0.041635461151599884,0.9858828186988831,0.7553462386131287,0.94873046875,403,0,0,0,3,569,32,0,0,0,200,0,0,8,34,257
2400,16,6,1,0.175,0.0125,8,261.2478222739883,0.10108517110347748,0.963450014591217,0.7771191000938416,0.865234375,403,0,0,0,3,523,61,17,0,0,191,9,0,65,48,186
2400,32,6,1,0.175,0.0125,8,410.0478555689915,0.02422453835606575,0.9912976026535034,0.8528531789779663,0.962890625,403,0,0,0,2,599,2,1,0,0,200,0,0,27,24,248
2400,64,6,1,0.175,0.0125,8,724.7842546380125,0.038822583854198456,0.9864242672920227,0.8245983123779297,0.9521484375,403,0,0,0,34,549,21,0,0,0,200,0,10,6,1,282
2400,16,11,1,0.175,0.0125,7,185.95387506799307,0.06343782693147659,0.9779926538467407,0.8212742209434509,0.8935546875,403,0,0,0,0,557,26,21,0,0,191,9,0,75,29,195
2400,32,11,1,0.175,0.0125,7,311.1546277820016,0.04647449776530266,0.9847611784934998,0.850360095500946,0.94775390625,403,0,0,0,0,538,10,56,0,0,200,0,0,3,10,286
2400,64,11,1,0.175,0.0125,7,550.5070292880409,0.14971297979354858,0.9405917525291443,0.7310249209403992,0.87451171875,403,0,0,0,0,548,10,46,0,0,200,0,0,119,14,166
3600,16,8,1,0.175,0.0125,8,319.97815470799105,0.05977611988782883,0.9805265665054321,0.754571795463562,0.876953125,268,0,0,0,25,344,22,10,0,0,118,14,5,7,40,147
3600,32,8,1,0.175,0.0125,8,459.9544906329829,0.029025303199887276,0.9901074767112732,0.7088537216186523,0.89111328125,268,0,0,0,0,389,12,0,0,1,131,0,0,64,32,103
3600,64,8,1,0.175,0.0125,8,1001.530655406008,0.04708585515618324,0.9827075600624084,0.7485504150390625,0.97509765625,268,0,0,0,4,379,17,1,0,0,132,0,0,0,3,196
3600,16,16,2,0.175,0.0125,6,464.13266487495275,0.09059248864650726,0.9688035249710083,0.7585861086845398,0.88720703125,268,0,0,0,12,370,18,1,0,0,109,23,0,59,0,140
3600,32,16,2,0.175,0.0125,6,1371.4109813870164,0.09058185666799545,0.9648309946060181,0.8792372941970825,0.9580078125,268,0,0,0,0,366,0,35,0,0,132,0,0,3,4,192
3600,64,16,2,0.175,0.0125,6,2666.3972247780184,0.5501025319099426,0.7771070003509521,0.5310548543930054,0.56396484375,0,266,0,2,0,364,29,8,0,0,132,0,0,99,32,68
3600,16,16,1,0.175,0.0125,7,260.88120281900046,0.0437108613550663,0.9857844114303589,0.8253233432769775,0.90576171875,268,0,0,0,21,362,5,13,0,0,131,1,47,2,5,145
3600,32,16,1,0.175,0.0125,7,401.8688289740239,0.14572367072105408,0.9468374848365784,0.881801962852478,0.84814453125,268,0,0,0,3,397,1,0,0,0,109,23,0,125,0,74
3600,64,16,1,0.175,0.0125,7,972.251047355996,0.6809752583503723,0.719115138053894,0.4891280233860016,0.5029296875,0,264,0,4,0,316,78,7,0,0,118,14,0,103,27,69
