segment length,filters,kernel size,stacks,dropout,lr,dilation,Training Time,train loss,train acc,eval acc,Eval Acc,C1 correct,C1 as C2,C1 as C3,C1 as C4,C2 as C1,C2 correct,C2 as C3,C2 as C4,C3 as C1,C3 as C2,C3 correct,C3 as C4,C4 as C1,C4 as C2,C4 as C3,C4 correct
2400,16,6,2,0.175,0.0125,7,1574.0198490369949,0.01154260616749525,0.9966157078742981,0.8974188566207886,0.962890625,403,0,0,0,10,591,3,0,0,0,200,0,3,30,10,256
2400,32,6,2,0.175,0.0125,7,3725.81693625098,0.0012514368863776326,0.9996205568313599,0.9176400303840637,0.998046875,403,0,0,0,1,602,1,0,0,0,200,0,0,0,1,298
2400,64,6,2,0.175,0.0125,7,4339.004102381994,0.016564348712563515,0.994377613067627,0.8093241453170776,0.95166015625,403,0,0,0,51,542,8,3,0,0,200,0,0,5,6,288
2400,16,6,1,0.175,0.0125,8,663.8778125449899,0.023257801309227943,0.9921627640724182,0.874468982219696,0.931640625,403,0,0,0,2,591,8,3,0,0,200,0,0,87,3,209
2400,32,6,1,0.175,0.0125,8,1171.8786336900084,0.005413081496953964,0.9982730150222778,0.8597495555877686,0.94873046875,403,0,0,0,2,534,25,43,0,0,199,1,0,5,1,293
2400,64,6,1,0.175,0.0125,8,3344.2170255969977,0.0025121429935097694,0.9991558790206909,0.7735627293586731,0.9814453125,403,0,0,0,1,598,5,0,0,0,200,0,0,3,19,277
2400,16,11,1,0.175,0.0125,7,609.3039034979884,0.01255069114267826,0.9961510896682739,0.8331946730613708,0.9462890625,403,0,0,0,0,603,1,0,0,0,200,0,0,25,55,219
2400,32,11,1,0.175,0.0125,7,1374.303893314005,0.0062909312546253204,0.9978470802307129,0.7992079854011536,0.9755859375,403,0,0,0,5,584,15,0,0,0,200,0,0,4,13,282
2400,64,11,1,0.175,0.0125,7,2240.709947594005,0.026345890015363693,0.990946888923645,0.7372577786445618,0.85107421875,403,0,0,0,93,488,22,1,0,0,200,0,0,78,30,191
3600,16,8,1,0.175,0.0125,8,1162.788208072976,0.008701230399310589,0.9972941279411316,0.8634287714958191,0.9521484375,268,0,0,0,3,393,5,0,0,0,132,0,15,0,25,159
3600,32,8,1,0.175,0.0125,8,1988.9195494290034,0.0013527355622500181,0.9995867013931274,0.8711215257644653,0.9609375,268,0,0,0,0,401,0,0,0,0,132,0,11,2,26,160
3600,64,8,1,0.175,0.0125,8,5047.120046695985,0.0009820690611377358,0.9996802806854248,0.8091553449630737,0.9970703125,268,0,0,0,0,400,1,0,0,0,132,0,0,2,0,197
3600,16,16,2,0.175,0.0125,6,1420.668568279012,0.00694214878603816,0.997995913028717,0.8871769309043884,0.9091796875,268,0,0,0,9,373,3,16,0,1,97,34,0,0,28,171
3600,32,16,2,0.175,0.0125,6,3610.835297509999,0.025828592479228973,0.991414487361908,0.9299726486206055,0.9501953125,268,0,0,0,9,352,1,39,0,0,132,0,0,0,1,198
3600,64,16,2,0.175,0.0125,6,9063.548311276012,0.4735964238643646,0.8241954445838928,0.654306948184967,0.82421875,214,52,0,2,23,367,7,4,0,0,132,0,6,58,24,111
3600,16,16,1,0.175,0.0125,7,1245.7765507680015,0.0038381486665457487,0.9988614916801453,0.8506894707679749,0.9638671875,268,0,0,0,0,401,0,0,0,0,131,1,0,12,23,164
3600,32,16,1,0.175,0.0125,7,1387.833902043989,0.010170137509703636,0.9970133900642395,0.7620945572853088,0.8388671875,268,0,0,0,20,376,5,0,0,0,132,0,0,112,24,63
3600,64,16,1,0.175,0.0125,7,3551.042094467033,0.03792982175946236,0.9863458275794983,0.775559663772583,0.81103515625,268,0,0,0,41,337,22,1,0,0,132,0,0,77,48,74
