Run,Num Epochs,Train Time,Pred Acc
k6D7s2f32_2400_100,36,3725.81693625098,0.998046875
k6D7s2f32_2400_300,46,1619.0936539150134,0.99755859375
k11D7s1f16_2400_300,36,421.80751410199446,0.99755859375
k8D8s1f64_3600_100,26,5047.120046695985,0.9970703125
k6D8s1f64_2400_300,26,1099.0845393690106,0.99609375
k8D8s1f16_3600_300,37,642.300958006992,0.9931640625
k11D7s1f16_2400_200,19,334.8566610050038,0.99267578125
k16D6s2f32_3600_200,21,919.9756134840137,0.9912109375
k11D7s1f32_2400_300,28,562.3813455009948,0.990234375
k6D7s2f32_2400_200,27,1431.2426524879993,0.98876953125
k16D7s1f16_3600_400,24,315.0269650350092,0.98876953125
k11D7s1f64_2400_300,33,1392.87052845399,0.98681640625
k16D7s1f32_3600_200,36,2630.2621135250088,0.98681640625
k6D7s2f32_2400_400,53,1399.559255266999,0.98193359375
k6D8s1f64_2400_100,26,3344.2170255969977,0.9814453125
k11D7s1f64_2400_400,32,1021.5793444080043,0.9814453125
k6D8s1f16_2400_300,47,623.9300270380045,0.98095703125
k11D7s1f32_2400_100,24,1374.3038933140049,0.9755859375
k8D8s1f64_3600_500,25,1001.530655406008,0.97509765625
k16D7s1f16_3600_200,28,687.3371118649957,0.97509765625
k8D8s1f32_3600_400,28,669.669270562008,0.97314453125
k11D7s1f32_2400_400,38,560.0125432159983,0.97021484375
k6D7s2f64_2400_200,22,2413.018931931991,0.96923828125
k6D8s1f64_2400_200,21,1322.871101355995,0.96875
k6D7s2f32_2400_500,32,705.395506988978,0.96728515625
k16D7s1f32_3600_400,45,1765.4792478050222,0.966796875
k6D7s2f16_2400_200,25,751.2635007860082,0.96630859375
k11D7s1f32_2400_200,20,591.8989155500021,0.96484375
k16D7s1f16_3600_100,26,1245.7765507680015,0.9638671875
k6D8s1f32_2400_500,28,410.04785556899145,0.962890625
k6D7s2f16_2400_100,27,1574.0198490369946,0.962890625
k8D8s1f32_3600_100,22,1988.9195494290036,0.9609375
k6D8s1f32_2400_400,39,768.8933777470082,0.9609375
k16D7s1f32_3600_500,46,1371.4109813870164,0.9580078125
k6D8s1f64_2400_400,31,985.4843261659844,0.95703125
k6D8s1f32_2400_300,27,638.3456294710048,0.95361328125
k6D8s1f64_2400_500,56,724.7842546380125,0.9521484375
k16D6s2f16_3600_200,22,891.1504598500032,0.9521484375
k8D8s1f16_3600_100,23,1162.788208072976,0.9521484375
k8D8s1f16_3600_200,22,573.817575093999,0.9521484375
k6D7s2f64_2400_100,20,4339.004102381994,0.95166015625
k16D7s1f32_3600_100,25,3610.835297509999,0.9501953125
k6D8s1f32_2400_100,17,1171.8786336900087,0.94873046875
k6D7s2f64_2400_500,24,1165.7428959719834,0.94873046875
k11D7s1f32_2400_500,25,311.1546277820016,0.94775390625
k11D7s1f16_2400_100,18,609.3039034979884,0.9462890625
k6D7s2f64_2400_300,43,3123.541722501017,0.94140625
k8D8s1f64_3600_200,21,2072.452729129989,0.93994140625
k11D7s1f64_2400_200,23,1443.202807947993,0.93896484375
k6D7s2f64_2400_400,28,1553.521638767008,0.93310546875
k11D7s1f16_2400_400,24,219.16410283799632,0.93212890625
k6D8s1f16_2400_100,17,663.8778125449899,0.931640625
k6D7s2f16_2400_300,32,659.1898263620096,0.9248046875
k6D8s1f16_2400_200,20,401.7982678510016,0.92236328125
k6D7s2f16_2400_400,50,748.6788219180015,0.9130859375
k8D8s1f16_3600_400,30,406.4274034239934,0.912109375
k16D6s2f16_3600_100,18,1420.668568279012,0.9091796875
k16D7s1f16_3600_500,24,260.88120281900046,0.90576171875
k8D8s1f32_3600_200,17,787.8839724390127,0.89794921875
k11D7s1f16_2400_500,24,185.9538750679931,0.8935546875
k8D8s1f32_3600_500,24,459.95449063298287,0.89111328125
k16D6s2f16_3600_500,27,464.13266487495287,0.88720703125
k8D8s1f16_3600_500,29,319.97815470799105,0.876953125
k8D8s1f64_3600_400,19,951.8410537000163,0.876953125
k11D7s1f64_2400_500,21,550.5070292880408,0.87451171875
k16D6s2f16_3600_400,24,508.6387199779856,0.87109375
k6D8s1f16_2400_500,31,261.2478222739883,0.865234375
k6D7s2f16_2400_500,29,383.1625964620034,0.86328125
k6D8s1f32_2400_200,20,699.1331752199914,0.86181640625
k16D6s2f32_3600_400,20,455.8124024809804,0.86083984375
k16D6s2f16_3600_300,21,578.6952841950115,0.85791015625
k11D7s1f64_2400_100,18,2240.709947594005,0.85107421875
k16D6s2f32_3600_500,22,401.86882897402387,0.84814453125
k6D8s1f16_2400_400,25,272.2767665249994,0.84716796875
k8D8s1f32_3600_300,21,655.9770706290146,0.84619140625
k16D6s2f64_3600_300,63,7356.620306067984,0.84521484375
k16D6s2f32_3600_100,16,1387.833902043989,0.8388671875
k16D6s2f32_3600_300,38,1865.5578374269824,0.8271484375
k16D7s1f64_3600_100,27,9063.548311276012,0.82421875
k16D6s2f64_3600_100,18,3551.042094467033,0.81103515625
k8D8s1f64_3600_300,19,1276.2495512489986,0.80419921875
k16D6s2f64_3600_200,21,2094.4155336770054,0.79296875
k16D6s2f64_3600_400,33,1652.060122640978,0.68603515625
k16D7s1f64_3600_400,37,3149.9599333439837,0.64306640625
k16D7s1f64_3600_300,19,3492.7927244859748,0.6318359375
k16D7s1f16_3600_300,16,714.7319116789731,0.60693359375
k16D7s1f32_3600_300,16,1278.4732269019878,0.59716796875
k16D7s1f64_3600_500,39,2666.3972247780184,0.56396484375
k16D7s1f64_3600_200,54,9090.103023289994,0.277099609375
